dt,main_temp,main_temp_min,main_temp_max,main_pressure,main_sea_level,main_grnd_level,main_humidity,main_temp_kf,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,clouds_all,wind_speed,wind_deg,rain_0h,sys_pod,dt_txt
1543957200,4.57,2.64,4.57,1029.45,1037.37,1029.45,100,1.93,803,Clouds,broken clouds,04n,64,1.24,126.004,0.0,n,2018-12-04 21:00:00
1543968000,4.91,3.46,4.91,1028.6,1036.41,1028.6,100,1.45,500,Rain,light rain,10n,92,1.76,115.001,0.0675,n,2018-12-05 00:00:00
1543978800,6.36,5.4,6.36,1026.52,1034.2,1026.52,100,0.96,500,Rain,light rain,10n,92,2.76,142.505,1.11,n,2018-12-05 03:00:00
1543989600,7.33,6.84,7.33,1023.72,1031.41,1023.72,100,0.48,500,Rain,light rain,10n,100,4.61,133.504,1.7175,n,2018-12-05 06:00:00
1544000400,8.93,8.93,8.93,1020.9,1028.63,1020.9,99,0,500,Rain,light rain,10d,92,5.07,151.503,1.2825,d,2018-12-05 09:00:00
1544011200,11.33,11.33,11.33,1018.15,1025.79,1018.15,99,0,500,Rain,light rain,10d,92,5.53,193.501,2.655,d,2018-12-05 12:00:00
1544022000,11.77,11.77,11.77,1015.51,1022.98,1015.51,98,0,500,Rain,light rain,10d,92,5.22,194,0.4575,d,2018-12-05 15:00:00
1544032800,11.74,11.74,11.74,1014.69,1022.24,1014.69,97,0,500,Rain,light rain,10n,92,4.51,225.501,1.285,n,2018-12-05 18:00:00
1544043600,11.61,11.61,11.61,1015.34,1022.95,1015.34,99,0,500,Rain,light rain,10n,92,4.22,265.006,0.265,n,2018-12-05 21:00:00
1544054400,10.78,10.78,10.78,1017.12,1024.67,1017.12,97,0,500,Rain,light rain,10n,80,4.01,256.003,0.040000000000001,n,2018-12-06 00:00:00
1544065200,10.51,10.51,10.51,1017.67,1025.22,1017.67,98,0,500,Rain,light rain,10n,92,3.32,231,0.045,n,2018-12-06 03:00:00
1544076000,11.14,11.14,11.14,1017.62,1025.15,1017.62,98,0,500,Rain,light rain,10n,92,4.36,229.5,0.125,n,2018-12-06 06:00:00
1544086800,11.32,11.32,11.32,1017.43,1025.06,1017.43,99,0,500,Rain,light rain,10d,92,5.52,231,0.64,d,2018-12-06 09:00:00
1544097600,11.43,11.43,11.43,1016.7,1024.17,1016.7,97,0,500,Rain,light rain,10d,92,7.37,236.502,1.425,d,2018-12-06 12:00:00
1544108400,12.77,12.77,12.77,1016.31,1023.89,1016.31,96,0,500,Rain,light rain,10d,88,7.06,256.002,0.405,d,2018-12-06 15:00:00
1544119200,12.3,12.3,12.3,1018.18,1025.63,1018.18,95,0,500,Rain,light rain,10n,80,5.66,263.504,0.045,n,2018-12-06 18:00:00
1544130000,10.09,10.09,10.09,1018.82,1026.41,1018.82,96,0,803,Clouds,broken clouds,04n,80,4.76,249.503,0.0,n,2018-12-06 21:00:00
1544140800,9.89,9.89,9.89,1017.08,1024.7,1017.08,97,0,500,Rain,light rain,10n,80,4.61,227.001,0.07,n,2018-12-07 00:00:00
1544151600,12.38,12.38,12.38,1012.85,1020.4,1012.85,98,0,501,Rain,moderate rain,10n,92,6.48,223.508,3.34,n,2018-12-07 03:00:00
1544162400,12.04,12.04,12.04,1009.15,1016.7,1009.15,96,0,500,Rain,light rain,10n,92,8.17,227.003,0.16,n,2018-12-07 06:00:00
1544173200,12.09,12.09,12.09,1006.81,1014.35,1006.81,97,0,500,Rain,light rain,10d,92,7.82,239.002,2.075,d,2018-12-07 09:00:00
1544184000,9.33,9.33,9.33,1007.34,1014.74,1007.34,95,0,500,Rain,light rain,10d,76,8.02,261.004,0.42,d,2018-12-07 12:00:00
1544194800,8.05,8.05,8.05,1006.48,1014.11,1006.48,92,0,500,Rain,light rain,10d,32,7.83,256.503,0.010000000000002,d,2018-12-07 15:00:00
1544205600,6.61,6.61,6.61,1005.91,1013.46,1005.91,92,0,500,Rain,light rain,10n,48,7.61,251.007,0.02,n,2018-12-07 18:00:00
1544216400,6.64,6.64,6.64,1005.26,1012.96,1005.26,89,0,500,Rain,light rain,10n,76,7.82,252.004,0.094999999999999,n,2018-12-07 21:00:00
1544227200,7.21,7.21,7.21,1005.3,1012.95,1005.3,82,0,802,Clouds,scattered clouds,03n,48,8.46,263.503,0.0,n,2018-12-08 00:00:00
1544238000,7.8,7.8,7.8,1005.65,1013.23,1005.65,80,0,803,Clouds,broken clouds,04n,76,9.57,268.506,0.0,n,2018-12-08 03:00:00
1544248800,8.43,8.43,8.43,1006.65,1014.11,1006.65,77,0,803,Clouds,broken clouds,04n,76,9.42,271,0.0,n,2018-12-08 06:00:00
1544259600,9.05,9.05,9.05,1008.05,1015.55,1008.05,75,0,500,Rain,light rain,10d,80,9.08,272.007,0.035,d,2018-12-08 09:00:00
1544270400,9.7,9.7,9.7,1009.14,1016.62,1009.14,72,0,500,Rain,light rain,10d,92,8.81,273,0.12,d,2018-12-08 12:00:00
1544281200,9.92,9.92,9.92,1008.55,1016.09,1008.55,70,0,801,Clouds,few clouds,02d,20,7.26,268.001,0.0,d,2018-12-08 15:00:00
1544292000,9.05,9.05,9.05,1004.76,1012.36,1004.76,94,0,500,Rain,light rain,10n,92,4.25,235,2.45,n,2018-12-08 18:00:00
1544302800,10.07,10.07,10.07,1002.52,1010.08,1002.52,90,0,500,Rain,light rain,10n,92,7.07,266.502,0.39,n,2018-12-08 21:00:00
1544313600,8.21,8.21,8.21,1003.64,1011.22,1003.64,97,0,500,Rain,light rain,10n,64,7.81,282.002,2.21,n,2018-12-09 00:00:00
1544324400,7.65,7.65,7.65,1006.97,1014.53,1006.97,98,0,500,Rain,light rain,10n,76,6.98,320.001,1.1,n,2018-12-09 03:00:00
1544335200,6.55,6.55,6.55,1012.89,1020.53,1012.89,95,0,500,Rain,light rain,10n,76,6.18,313,0.010000000000002,n,2018-12-09 06:00:00
1544346000,6.81,6.81,6.81,1017.17,1024.85,1017.17,97,0,500,Rain,light rain,10d,76,4.21,308.505,0.009999999999998,d,2018-12-09 09:00:00
1544356800,7.69,7.69,7.69,1020.75,1028.46,1020.75,93,0,500,Rain,light rain,10d,36,4.3,328.001,0.07,d,2018-12-09 12:00:00
1544367600,6.46,6.46,6.46,1023.45,1031.26,1023.45,86,0,800,Clear,clear sky,01d,0,3.72,333.502,0.0,d,2018-12-09 15:00:00
1544378400,3.59,3.59,3.59,1026.84,1034.65,1026.84,89,0,800,Clear,clear sky,02n,8,3.36,320.003,0.0,n,2018-12-09 18:00:00
